Solution x:
x[0] = 13.564
x[1] = 13.615
x[2] = 13.6416
x[3] = 13.6564
x[4] = 13.6658
x[5] = 13.6728
x[6] = 13.6779
x[7] = 13.6811
x[8] = 13.6816
x[9] = 13.6789
x[10] = 13.6719
x[11] = 13.6599
x[12] = 13.6421
x[13] = 13.6178
x[14] = 13.5864
x[15] = 13.5474
x[16] = 13.5006
x[17] = 13.4458
x[18] = 13.383
x[19] = 13.3122
x[20] = 13.2337
x[21] = 13.1478
x[22] = 13.0549
x[23] = 12.9555
x[24] = 12.8501
x[25] = 12.7393
x[26] = 12.6237
x[27] = 12.5038
x[28] = 12.3803
x[29] = 12.2538
x[30] = 12.1249
x[31] = 11.994
x[32] = 11.8618
x[33] = 11.7286
x[34] = 11.595
x[35] = 11.4613
x[36] = 11.3278
x[37] = 11.1949
x[38] = 11.0628
x[39] = 10.9318
x[40] = 10.802
x[41] = 10.6737
x[42] = 10.5469
x[43] = 10.4218
x[44] = 10.2984
x[45] = 10.177
x[46] = 10.0575
x[47] = 9.94011
x[48] = 9.82491
x[49] = 9.71202
x[50] = 9.60155
x[51] = 9.49364
x[52] = 9.38841
x[53] = 9.28599
x[54] = 9.18649
x[55] = 9.09003
x[56] = 8.99668
x[57] = 8.90651
x[58] = 8.81957
x[59] = 8.73588
x[60] = 8.65543
x[61] = 8.5782
x[62] = 8.50416
x[63] = 8.43323
x[64] = 8.36535
x[65] = 8.30043
x[66] = 8.23838
x[67] = 8.1791
x[68] = 8.12247
x[69] = 8.0684
x[70] = 8.01677
x[71] = 7.96748
x[72] = 7.92043
x[73] = 7.87551
x[74] = 7.83264
x[75] = 7.79173
x[76] = 7.75269
x[77] = 7.71547
x[78] = 7.67998
x[79] = 7.64618
x[80] = 7.61403
x[81] = 7.58348
x[82] = 7.5545
x[83] = 7.52706
x[84] = 7.50117
x[85] = 7.4768
x[86] = 7.45395
x[87] = 7.43262
x[88] = 7.41283
x[89] = 7.39458
x[90] = 7.37789
x[91] = 7.36275
x[92] = 7.34916
x[93] = 7.33708
x[94] = 7.32638
x[95] = 7.31673
x[96] = 7.30738
x[97] = 7.29656
x[98] = 7.28051
x[99] = 7.2524
x[100] = 13.6294
x[101] = 13.6807
x[102] = 13.7078
x[103] = 13.7231
x[104] = 13.7332
x[105] = 13.7409
x[106] = 13.7469
x[107] = 13.7509
x[108] = 13.7524
x[109] = 13.7505
x[110] = 13.7444
x[111] = 13.7332
x[112] = 13.7159
x[113] = 13.6921
x[114] = 13.6609
x[115] = 13.6221
x[116] = 13.5753
x[117] = 13.5202
x[118] = 13.457
x[119] = 13.3856
x[120] = 13.3064
x[121] = 13.2197
x[122] = 13.1259
x[123] = 13.0255
x[124] = 12.919
x[125] = 12.807
x[126] = 12.6902
x[127] = 12.5691
x[128] = 12.4444
x[129] = 12.3167
x[130] = 12.1866
x[131] = 12.0546
x[132] = 11.9212
x[133] = 11.787
x[134] = 11.6523
x[135] = 11.5175
x[136] = 11.3831
x[137] = 11.2493
x[138] = 11.1163
